Fuel,Cost_per_MMBtu,CO2_content_tons_per_MMBtu,fuel_indices
None,0.0,0.0,1
west_north_central_coal,1.63,0.09552,2
west_north_central_naturalgas,3.59,0.05306,3
west_north_central_uranium,0.66,0.0,4
middle_atlantic_naturalgas,3.11,0.05306,5
middle_atlantic_coal,2.08,0.09552,6
middle_atlantic_uranium,0.66,0.0,7
east_north_central_coal,1.82,0.09552,8
east_north_central_naturalgas,3.28,0.05306,9
east_north_central_uranium,0.66,0.0,10
south_atlantic_coal,2.43,0.09552,11
south_atlantic_naturalgas,3.92,0.05306,12
south_atlantic_uranium,0.66,0.0,13
west_north_central_naturalgas_ccs90,2.31,0.00531,14
west_north_central_naturalgas_ccs100,2.16,0.0,15
middle_atlantic_naturalgas_ccs90,1.82,0.00531,16
middle_atlantic_naturalgas_ccs100,1.67,0.0,17
east_north_central_naturalgas_ccs90,1.99,0.00531,18
east_north_central_naturalgas_ccs100,1.84,0.0,19
south_atlantic_naturalgas_ccs90,2.63,0.00531,20
south_atlantic_naturalgas_ccs100,2.49,0.0,21
