slot,cluster
1,9
2,9
3,13
4,12
5,14
6,5
7,17
8,5
9,8
10,8
11,9
12,8
13,17
14,5
15,9
16,9
17,5
18,5
19,3
20,3
21,11
22,5
23,11
24,3
25,3
26,11
27,3
28,11
29,3
30,3
31,3
32,11
33,3
34,3
35,11
36,3
37,11
38,3
39,3
40,16
41,4
42,19
43,16
44,16
45,2
46,7
47,7
48,16
49,16
50,20
51,7
52,2
53,16
54,16
55,7
56,16
57,16
58,19
59,16
60,16
61,16
62,16
63,16
64,19
65,19
66,19
67,19
68,4
69,4
70,4
71,4
72,15
73,18
74,4
75,18
76,6
77,4
78,1
79,10
80,1
81,1
82,15
83,10
84,10
85,4
86,13
87,1
88,13
89,15
90,13
91,8
